id,query
1,Suggest a quick vegan breakfast recipe
2,I have chicken and rice. what can I cook?
3,Give me a dessert recipe with chocolate 
4,Recommend an Italian pasta dish for dinner
5,What's a spicy Thai curry recipe?
6,Can you suggest a gluten-free breakfast idea?
7,What dessert can I make with only apples and cinnamon?
8,Give me a quick lunch recipe for work
9,Easy dinner for two people
10,Healthy snack for kids
11,Show me a recipe that takes less than 30 minutes
12,Beginner-friendly baking recipe
13,What can I cook with eggs, spinach, and cheese?
14,Surprise me with something delicious 
